"","Input","Aquatroll_sn","Start_time_utc","End_time_utc","Duration_days","Num_samp","Oxygen_min","PSU_under_1","flds_miss","PSU_outlier_timestamps"
"1","0723ASHC_Sonde.csv",1005261,2023-06-26 15:40:00,2023-07-10 15:30:00,14.0069560185185,2017,2.048525,5,"","2023-06-26 15:50:00, 2023-06-26 16:00:00, 2023-06-26 16:10:00, 2023-06-26 16:20:00, 2023-07-10 15:50:00"
"2","0723FENC_Sonde.csv",1005044,2023-06-14 14:12:20,2023-07-12 17:12:21,1.15740740740741e-05,4052,1.800421,1,"","2023-06-14 18:02:20"
"3","0723GOLD_Sonde.csv",1005052,2023-06-20 16:37:05,2023-07-17 16:07:06,1.15740740740741e-05,3887,2.691642,1,"","2023-07-17 16:07:06"
"4","0723LAUR_Sonde.csv",1005046,2023-06-20 13:56:17,2023-07-17 14:36:18,1.15740740740741e-05,3894,1.645883,6,"","2023-06-20 13:56:17, 2023-06-20 14:06:17, 2023-06-20 14:16:17, 2023-06-20 14:36:17, 2023-06-20 14:46:17, 2023-06-20 14:56:17"
