"Location Properties"
"Location Name = Fence Creek"
"Location ID = eedcb52e-0ba7-465c-8a88-f9905ba2800d"
""
"Report Properties"
"Start Time = 2023-06-14 10:12:20"
"Duration = 28.03:00:01"
"Readings = 4051"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005044"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = Log_2023-06-14_1005044_FC"
"Log Type = Linear"
"Log File Number = 3"
"Log ID = 069e0f5d-11ae-49ee-93c7-881554027ac3"
"Log Wrapping Enabled = True"
"Interval = 00:10:00"
""
""
"Date Time","Actual Conductivity (µS/cm) (1026748)","Specific Conductivity (µS/cm) (1026748)","Salinity (PSU) (1026748)","Resistivity (Ω⋅cm) (1026748)","Density (g/cm³) (1026748)","Total Dissolved Solids (ppt) (1026748)","RDO Concentration (mg/L) (1003326)","RDO Saturation (%Sat) (1003326)","Oxygen Partial Pressure (Torr) (1003326)","Chlorophyll-a Fluorescence (RFU) (1007122)","pH (pH) (982931)","pH mV (mV) (982931)","ORP (mV) (982931)","Temperature (°C) (1005044)","External Voltage (V) (1005044)","Battery Capacity (%) (1005044)","Barometric Pressure (mm Hg) (1005044)"
"2023-06-14 10:12:20","34283.89","38827.6","24.92709","29.16821","1.017373","25.23794","8.046785","101.0511","139.8701","0.01341312","7.715967","-41.03184","150.9134","18.87316","0","92","754.8497"
"2023-06-14 10:22:20","32733.29","36151.79","23.07183","30.54994","1.015679","23.49866","8.570244","108.8483","150.4095","0.003416154","7.494082","-28.28836","170.8023","20.04924","0","92","754.8497"
"2023-06-14 10:32:20","33055.21","35985.06","22.97317","30.25242","1.015434","23.39029","8.499725","109.2897","150.8631","0.001888865","7.484931","-27.82106","189.0651","20.73724","0.009","92","754.8497"
"2023-06-14 10:42:20","33891.58","36422.64","23.29809","29.50585","1.015521","23.67472","8.406032","109.5521","151.078","0.004545879","7.466906","-26.82686","198.1513","21.36171","0.018","92","754.8497"
"2023-06-14 10:52:20","32507.52","34443.91","21.91929","30.76211","1.014298","22.38854","8.386537","109.8166","151.2725","0","7.39191","-22.49718","199.4864","22.05663","0.027","92","754.8497"
"2023-06-14 11:02:20","32895.88","34367.68","21.87953","30.39894","1.014083","22.33899","8.313478","110.2342","151.6687","0.002874473","7.379833","-21.84153","209.6717","22.75785","0.027","92","754.8497"
"2023-06-14 11:12:20","28723.97","29654.25","18.60661","34.81413","1.011457","19.27526","8.403849","110.5422","151.9336","0","7.357724","-20.58506","213.8392","23.35755","0.045","92","754.8497"
"2023-06-14 11:22:20","29073.15","29687.79","18.63693","34.39599","1.011329","19.29707","8.332468","110.732","152.0417","0.002891513","7.339067","-19.5241","220.1764","23.91605","0.063","92","754.8497"
"2023-06-14 11:32:20","29352.82","29682.5","18.6392","34.06828","1.011192","19.29362","8.28519","111.0994","152.4044","0","7.315815","-18.18419","223.1876","24.4185","0.072","92","754.8497"
"2023-06-14 11:42:20","30455.78","30556.81","19.2489","32.83449","1.011536","19.86193","8.21707","111.3752","152.6642","0.001217944","7.294303","-16.93726","224.7445","24.82689","0.081","92","754.8497"
"2023-06-14 11:52:20","31820.82","31914.98","20.19377","31.42597","1.01224","20.74474","8.157127","111.196","152.4132","0.0007054284","7.264084","-15.1515","228.0704","24.84552","0.072","92","754.8497"
"2023-06-14 12:02:20","31361.68","31587.9","19.96313","31.88605","1.012129","20.53214","8.187018","111.0228","152.2399","0.0009352714","7.234455","-13.38959","228.4853","24.62504","0.054","92","754.8497"
"2023-06-14 12:12:20","35684.94","36108.76","23.13701","28.02303","1.014581","23.47069","8.045068","110.6236","151.7611","0","7.21388","-12.16412","224.1103","24.38548","0.045","92","754.8497"
"2023-06-14 12:22:20","35906.45","36582.46","23.46724","27.85015","1.014929","23.7786","8.072358","110.5167","151.7136","0.001343716","7.196173","-11.10554","228.4638","24.03251","0.036","92","754.8497"
"2023-06-14 12:32:20","35938.99","36651.77","23.51557","27.82493","1.01498","23.82365","8.056517","110.2314","151.3362","0.002109294","7.167614","-9.419918","228.8691","23.98182","0.027","92","754.8497"
"2023-06-14 12:42:20","37978.66","37308.81","24.01351","26.33058","1.014789","24.25073","7.919628","112.452","153.8015","0.001859159","7.144111","-8.087158","230.2901","25.94","0.054","92","754.8497"
"2023-06-14 12:52:20","39303.46","37036.3","23.84367","25.44305","1.013968","24.07359","7.732789","113.9999","155.156","0.0005265782","7.095281","-5.228519","230.6978","28.20496","0.09","92","754.8497"
"2023-06-14 13:02:20","43104.17","38825.6","25.14465","23.19961","1.014104","25.23664","7.459826","115.5514","156.2785","0.005045467","7.0488","-2.470016","235.0132","30.76962","0.135","92","754.8497"
"2023-06-14 13:12:20","45530.25","40236.24","26.16905","21.96342","1.014486","26.15356","7.353179","116.6207","157.2477","0.001705998","7.053101","-2.739429","238.3677","31.88865","0.189","92","754.8497"
"2023-06-14 13:22:20","44420.46","37009.29","23.84758","22.51215","1.011479","24.05604","7.299983","121.0132","161.3838","0.002166132","7.029059","-1.299381","241.5697","35.48439","0.216","92","754.8497"
"2023-06-14 13:32:20","35900.95","30456.13","19.21748","27.85441","1.008462","19.79648","7.58118","120.4653","161.2427","0.003713678","7.012022","-0.2551079","243.0598","34.36","0.207","92","754.8497"
"2023-06-14 13:42:20","35560.02","38016.75","24.43537","28.12147","1.016315","24.71089","6.707597","88.41322","121.8767","0.01914737","7.375689","-21.51489","166.6466","21.61664","0.063","92","754.8497"
"2023-06-14 13:52:20","35041.5","37364.64","23.97503","28.53759","1.015933","24.28702","6.596043","86.91352","119.7845","0.02172533","7.358008","-20.48969","174.3929","21.74477","0.018","92","754.8497"
"2023-06-14 14:02:20","19.12692","20.63934","0.008286182","52282.32","0.9979656","0.01341557","8.790586","99.62139","137.4261","0.002024972","7.094759","-5.075932","185.1598","21.16343","0","92","754.8497"
"2023-06-14 14:12:20","35385.51","37584.08","24.13562","28.26015","1.016004","24.42965","6.672132","88.30862","121.6691","0.01775965","7.378709","-21.71516","167.6528","21.93731","0.027","92","754.8497"
"2023-06-14 14:22:20","34749.89","36874.92","23.63325","28.77707","1.015612","23.9687","6.650039","87.83208","121.0035","0.01903646","7.363018","-20.79964","173.0339","21.98282","0.009","92","754.8497"
"2023-06-14 14:32:20","34285.84","36297.04","23.22661","29.16656","1.015274","23.59308","6.704681","88.5321","121.9445","0.02123914","7.359216","-20.58506","165.1041","22.09898","0.009","92","754.8497"
"2023-06-14 14:42:20","33939.57","35917.18","22.95845","29.46413","1.015067","23.34617","6.721478","88.64526","122.0967","0.01793705","7.345114","-19.76013","171.4055","22.11726","0.009","92","754.8497"
"2023-06-14 14:52:20","33596.47","35541.64","22.69368","29.76503","1.014863","23.10206","6.714396","88.44382","121.8157","0.02564564","7.32723","-18.71347","171.3459","22.1346","0.009","92","754.8497"
"2023-06-14 15:02:20","33506.95","35400.16","22.59529","29.84455","1.014771","23.01011","6.764724","89.16196","122.7915","0.02306754","7.323173","-18.47982","168.1701","22.19999","0.009","92","754.8497"
"2023-06-14 15:12:20","33360.18","35201.96","22.45685","29.97586","1.01465","22.88127","6.883885","90.76012","124.9798","0.02159852","7.338401","-19.37628","151.8027","22.26071","0.009","92","754.8497"
"2023-06-14 15:22:20","33209.72","35022.29","22.33089","30.11167","1.014547","22.76449","6.866431","90.51277","124.6331","0.02059627","7.334952","-19.17601","161.7161","22.29032","0.009","92","754.8497"
"2023-06-14 15:32:20","33180.04","34917.63","22.25933","30.1386","1.014466","22.69646","6.913066","91.26291","125.644","0.02240154","7.36232","-20.78772","156.9168","22.39462","0.009","92","754.8497"
"2023-06-14 15:42:20","33128.42","34879.46","22.23199","30.18556","1.014451","22.67165","6.816891","89.94122","123.8292","0.02288978","7.381539","-21.91305","163.2611","22.37159","0.009","92","754.8497"
